Año,CCAA,PIB_anual,PIB_capita,Renta media por persona (con alquiler imputado),Renta media por unidad de consumo,Renta media por unidad de consumo (con alquiler imputado),Renta neta media por persona,Total_paro,busquedas_running,Income_Group,Unemp_Group,Search_Group
2016,LaRioja,8.074,25.713,13.221,16.933,19.172,11.589,10.9,58.0,Medium,Low,Low
2016,Melilla,1.453,16.979,12.256,17.349,19.482,10.883,27.38,69.0,Medium,High,Medium
2016,Navarra,18.911,29.556,15.165,19.697,22.123,13.408,10.01,71.0,High,Low,Medium
2016,PaisVasco,67.115,30.833,16.411,21.058,23.911,14.345,12.27,77.0,High,Low,High
2016,Murcia,30.009,20.402,9.726,12.635,14.733,8.273,18.58,77.0,Low,Medium,High
2017,Andalucia,156.789,18.691,10.831,13.709,16.16,9.116,24.43,79.0,Low,High,Medium
2017,Aragon,35.984,27.357,13.912,17.756,20.246,12.11,11.37,92.0,Medium,Low,High
2017,Asturias,22.538,21.897,14.157,17.547,20.162,12.244,14.64,66.0,Medium,Medium,Low
2017,Canarias,43.036,20.296,10.54,13.161,15.563,8.863,22.04,63.0,Low,High,Low
2017,Cantabria,13.318,22.922,13.212,16.199,18.822,11.293,13.49,72.0,Medium,Medium,Medium
2017,CastillaLeon,55.879,23.076,13.042,16.3,18.757,11.239,13.71,74.0,Medium,Medium,Medium
2017,CastillaLaMancha,40.769,20.043,10.567,13.604,15.762,9.045,19.74,76.0,Low,Medium,Medium
2017,Catalunya,223.14,29.77,14.481,18.957,21.429,12.712,12.63,83.0,High,Medium,Medium
2017,Ceuta,1.554,18.262,11.172,15.075,17.384,9.676,26.03,88.0,Medium,High,High
2017,ComunidadValenciana,108.667,21.996,11.468,14.365,16.669,9.801,16.76,89.0,Medium,Medium,High
2017,Madrid,224.373,34.592,15.0,19.314,21.962,13.099,13.75,79.0,High,Medium,Medium
2017,Extremadura,20.17,18.761,9.86,12.006,14.244,8.25,25.12,69.0,Low,High,Medium
2017,Galicia,60.631,22.433,12.51,15.88,18.329,10.753,14.71,67.0,Medium,Medium,Low
2017,Baleares,31.746,28.001,14.233,18.312,20.466,12.665,12.61,68.0,High,Low,Low
2017,LaRioja,8.352,26.585,13.875,17.801,20.171,12.131,11.51,69.0,Medium,Low,Medium
2017,Melilla,1.467,17.051,11.601,16.453,18.686,10.161,24.62,100.0,Medium,High,High
2017,Navarra,19.699,30.631,15.411,20.022,22.554,13.583,9.63,81.0,High,Low,Medium
2017,PaisVasco,69.585,31.891,16.66,21.198,24.33,14.397,10.57,82.0,High,Low,Medium
2017,Murcia,31.192,21.128,10.301,13.324,15.62,8.702,17.21,87.0,Low,Medium,High
2018,Andalucia,161.894,19.291,10.962,13.977,16.414,9.258,21.26,82.0,Low,High,Medium
2018,Aragon,37.214,28.281,13.796,17.672,20.18,11.99,11.11,87.0,Medium,Medium,High
2018,Asturias,23.186,22.651,13.963,17.343,19.903,12.085,12.86,59.0,Medium,Medium,Low
2018,Canarias,44.609,20.853,10.736,13.546,16.039,8.964,19.99,64.0,Low,High,Low
2018,Cantabria,13.844,23.818,13.166,16.4,19.051,11.239,9.68,66.0,Medium,Low,Medium
2018,CastillaLeon,58.327,24.216,13.804,17.264,19.788,11.949,11.21,65.0,Medium,Medium,Medium
2018,CastillaLaMancha,42.291,20.811,11.04,14.305,16.452,9.533,16.16,73.0,Low,Medium,Medium
2018,Catalunya,231.101,30.525,15.19,19.791,22.382,13.338,11.75,82.0,High,Medium,Medium
2018,Ceuta,1.612,18.923,11.518,14.991,17.53,9.784,24.02,74.0,Medium,High,Medium
2018,ComunidadValenciana,112.75,22.723,11.937,15.038,17.408,10.232,14.3,90.0,Medium,Medium,High
2018,Madrid,233.736,35.601,15.296,19.648,22.485,13.279,11.54,73.0,High,Medium,Medium
2018,Extremadura,20.713,19.368,10.092,12.376,14.576,8.503,23.1,65.0,Low,High,Medium
2018,Galicia,62.649,23.212,13.067,16.758,19.306,11.239,12.04,61.0,Medium,Medium,Low
2018,Baleares,33.186,28.906,14.894,19.554,21.886,13.24,10.91,67.0,High,Low,Medium
2018,LaRioja,8.65,27.47,13.841,17.49,19.973,12.029,10.3,62.0,Medium,Low,Low
2018,Melilla,1.511,17.531,13.962,19.5,21.767,12.507,23.85,100.0,Medium,High,High
2018,Navarra,20.236,31.19,15.421,20.094,22.658,13.585,9.99,78.0,High,Low,Medium
2018,PaisVasco,71.915,32.835,16.993,21.76,24.912,14.722,9.58,76.0,High,Low,Medium
2018,Murcia,31.715,21.393,10.708,14.041,16.369,9.111,15.83,83.0,Low,Medium,High
2019,Andalucia,166.479,19.744,10.892,13.755,16.218,9.16,20.8,89.0,Low,High,Medium
2019,Aragon,38.465,29.043,14.1,18.067,20.576,12.3,9.93,94.0,Medium,Low,High
2019,Asturias,23.667,23.22,14.559,17.868,20.612,12.523,13.14,72.0,Medium,Medium,Low
2019,Canarias,45.767,21.159,11.298,14.247,16.797,9.487,18.78,74.0,Low,High,Medium
2019,Cantabria,14.274,24.515,14.25,17.742,20.519,12.205,11.18,74.0,Medium,Medium,Medium
2019,CastillaLeon,59.649,24.849,13.858,17.233,19.754,12.003,11.2,80.0,Medium,Medium,Medium
2019,CastillaLaMancha,43.393,21.264,11.298,14.505,16.754,9.715,16.56,85.0,Low,Medium,Medium
2019,Catalunya,240.166,31.3,15.372,20.049,22.63,13.527,10.45,91.0,High,Medium,Medium
2019,Ceuta,1.66,19.577,11.928,16.059,18.733,10.164,27.58,89.0,Medium,High,Medium
2019,ComunidadValenciana,116.589,23.248,12.438,15.582,18.115,10.611,14.13,100.0,Medium,Medium,High
2019,Madrid,243.889,36.613,16.34,21.03,24.036,14.199,9.99,92.0,High,Medium,High
