,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTÓRICO  DE LICENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,FEDERACIÓN,,1941,1942,1943,,,1944,,,1945,,1946,,1947,,,,1948,,1949,,1950,,1951,,,1952,,1953,,,1954,,,1955,,1956,,1957,,1958,,,1959,,,1960,,1961,,1962,,1963,,,1964,,,1965,,,
63,VELA,,28.069,28.880,,,22.501,,,31.464,,,31.087,,,31.842,,,,31.257,,36.754,,,48.134,,,35.992,,,44.797,,,50.742,,,40.999,,45.272,,39.360,,,,40.537,,54.715,,,35.929,,35.857,,,43.529,,,48.154,,,,,
64,VOLEIBOL,,33.459,52.527,,,58.484,,,51.196,,,47.594,,,12.385,,,,71.793,,67.528,,,70.983,,,74.433,,,43.472,,,9.888,,,9.739,,40.175,,50.730,,,,51.845,,53.398,,,58.228,,59.197,,,56.859,,,58.933,,,,,
1,BAILE DEPORTIVO (A.E.C.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.388,,,2.242,,,2.589,,,,,
2,FÚTBOL AMERICANO (A.E.C.),,,,,,,,,,,,2.010,,,1.673,,,,1.686,,1.467,,,1.272,,,1.334,,,2.405,,,2.865,,,3.008,,3.507,,4.009,,,,4.674,,5.095,,,5.347,,5.763,,,5.962,,,5.670,,,,,
,BOBSLEIGH (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEPORTE UNIVERSITARIO (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FÚTBOL SALA (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALES,,,2.266.857,2.394.457,,,2.480.727,,,2.324.456,,,2.508.202,,,2.517.779,,,,2.565.521,,2.535.438,,,2.572.368,,,2.644.532,,,2.520.124,,,2.729.148,,,2.876.231,,3.031.600,,3.138.201,,,,3.190.964,,3.325.984,,,3.394.834,,3.470.659,,,3.520.192,,,3.548.118,,,,,
(1)  Actualmente son 5 Federaciones lo que antes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  Integrada en Deportes de Invierno hasta su se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)  Agrupación desde 1993 hasta 2003 que se con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)  Integrada en Pentatlon Moderno hasta su segr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORIA 2016/ Licencias: Histórico 1941 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,,FEDERACIÓN,,,,2012,,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,ACTIVIDADES  SUBACUÁTICAS,,,,33.544,,,,,,31.750,,,,,30.302,,,,,27.926,,,,,26.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,AERONÁUTICA,,,,6.701,,,,,,4.294,,,,,10.046,,,,,8.985,,,,,8.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,AJEDREZ,,,,23.063,,,,,,22.150,,,,,24.153,,,,,24.908,,,,,26.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,ATLETISMO,,,,80.309,,,,,,62.355,,,,,65.292,,,,,70.911,,,,,74.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,AUTOMOVILISMO,,,,14.961,,,,,,13.526,,,,,14.164,,,,,15.071,,,,,19.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,BADMINTON,,,,6.763,,,,,,6.804,,,,,6.990,,,,,7.289,,,,,7.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,BAILE DEPORTIVO (3),,,,2.556,,,,,,2.242,,,,,2.154,,,,,3.484,,,,,5.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,BALONCESTO,,,,407.728,,,,,,400.153,,,,,354.949,,,,,355.845,,,,,347.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,BALONMANO,,,,95.763,,,,,,91.819,,,,,92.249,,,,,92.716,,,,,95.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,BÉISBOL Y SÓFBOL,,,,5.233,,,,,,4.389,,,,,5.952,,,,,5.715,,,,,4.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,BILLAR,,,,1.805,,,,,,2.253,,,,,2.709,,,,,2.669,,,,,2.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,BOLOS,,,,8.367,,,,,,6.904,,,,,9.399,,,,,8.253,,,,,8.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,BOXEO,,,,1.381,,,,,,3.008,,,,,3.146,,,,,3.188,,,,,3.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,CAZA,,,,369.895,,,,,,350.765,,,,,335.754,,,,,334.527,,,,,332.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,CICLISMO,,,,61.733,,,,,,65.339,,,,,70.800,,,,,75.855,,,,,75.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,COLOMBICULTURA,,,,23.278,,,,,,22.933,,,,,22.520,,,,,23.690,,,,,24.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,COLOMBÓFILA,,,,2.850,,,,,,4.076,,,,,4.224,,,,,4.962,,,,,3.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,DEP. DISCAPACIDAD FÍSICA (1),,,,2.231,,,,,,2.206,,,,,1.883,,,,,2.156,,,,,1.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,DEP. DISCAPACIDAD INTELECTUAL,,,,4.619,,,,,,3.209,,,,,5.869,,,,,5.995,,,,,5.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,DEP. PARA CIEGOS,,,,2.009,,,,,,2.026,,,,,1.801,,,,,1.770,,,,,1.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,DEP. PARA SORDOS,,,,733,,,,,,615,,,,,325,,,,,1.043,,,,,1.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,DEP. PARALÍTICOS CEREBRALES,,,,1.557,,,,,,1.238,,,,,1.272,,,,,1.362,,,,,1.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,DEPORTES DE HIELO (2),,,,1.618,,,,,,2.083,,,,,1.276,,,,,1.719,,,,,2.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,DEPORTES DE INVIERNO,,,,3.291,,,,,,3.064,,,,,3.044,,,,,3.404,,,,,3.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,ESGRIMA,,,,4.044,,,,,,6.114,,,,,5.554,,,,,5.631,,,,,5.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,ESPELEOLOGÍA,,,,7.451,,,,,,2.590,,,,,6.196,,,,,2.149,,,,,10.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,ESQUÍ NÁUTICO,,,,755,,,,,,633,,,,,748,,,,,723,,,,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,FÚTBOL,,,,869.320,,,,,,855.987,,,,,874.093,,,,,909.761,,,,,942.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,FÚTBOL AMERICANO (3),,,,5.615,,,,,,4.463,,,,,4.833,,,,,5.127,,,,,5.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,GALGOS,,,,12.789,,,,,,10.180,,,,,10.151,,,,,10.312,,,,,11.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,GIMNASIA,,,,29.639,,,,,,30.822,,,,,24.032,,,,,38.842,,,,,40.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,GOLF,,,,313.828,,,,,,294.884,,,,,283.849,,,,,276.150,,,,,271.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,HALTEROFILIA,,,,1.967,,,,,,2.245,,,,,2.251,,,,,2.295,,,,,2.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,HÍPICA,,,,51.982,,,,,,47.830,,,,,48.158,,,,,48.292,,,,,50.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,HOCKEY,,,,10.629,,,,,,11.908,,,,,13.178,,,,,13.219,,,,,14.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,JUDO,,,,106.753,,,,,,106.466,,,,,104.340,,,,,104.871,,,,,104.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,KARATE,,,,61.608,,,,,,61.395,,,,,59.049,,,,,65.316,,,,,64.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,KICKBOXING,,,,2.943,,,,,,2.032,,,,,2.186,,,,,1.809,,,,,9.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,LUCHAS  OLÍMPICAS,,,,6.052,,,,,,12.368,,,,,11.515,,,,,10.003,,,,,6.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,MONTAÑA Y ESCALADA,,,,155.940,,,,,,169.188,,,,,188.292,,,,,203.860,,,,,222.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,MOTOCICLISMO,,,,14.187,,,,,,17.827,,,,,14.219,,,,,19.908,,,,,16.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,MOTONÁUTICA,,,,508,,,,,,489,,,,,510,,,,,557,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,NATACIÓN,,,,59.841,,,,,,61.246,,,,,59.123,,,,,63.644,,,,,63.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,ORIENTACIÓN (3),,,,18.869,,,,,,18.922,,,,,17.744,,,,,14.797,,,,,14.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,PADEL,,,,39.652,,,,,,43.312,,,,,49.463,,,,,56.263,,,,,58.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,PATINAJE,,,,40.154,,,,,,45.186,,,,,47.512,,,,,50.803,,,,,58.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,PELOTA,,,,15.064,,,,,,12.252,,,,,15.483,,,,,15.480,,,,,13.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,PENTATLÓN  MODERNO,,,,212,,,,,,164,,,,,337,,,,,401,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,PESCA Y CASTING,,,,61.275,,,,,,56.889,,,,,55.037,,,,,55.255,,,,,54.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,PETANCA,,,,25.018,,,,,,23.203,,,,,21.467,,,,,21.987,,,,,19.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,PIRAGÜISMO,,,,6.754,,,,,,6.409,,,,,7.249,,,,,9.601,,,,,9.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,POLO,,,,537,,,,,,552,,,,,633,,,,,695,,,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,REMO,,,,8.513,,,,,,10.548,,,,,15.414,,,,,12.530,,,,,11.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,RUGBY,,,,24.849,,,,,,23.763,,,,,25.892,,,,,28.479,,,,,31.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,SALVAMENTO Y SOCORRISMO,,,,11.604,,,,,,10.641,,,,,10.183,,,,,10.660,,,,,10.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,SQUASH,,,,1.760,,,,,,1.917,,,,,1.745,,,,,1.659,,,,,1.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,SURF,,,,23.089,,,,,,23.249,,,,,25.631,,,,,27.624,,,,,30.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,TAEKWONDO,,,,32.230,,,,,,34.300,,,,,38.882,,,,,38.908,,,,,42.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,TENIS,,,,103.898,,,,,,89.830,,,,,85.668,,,,,81.581,,,,,80.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,TENIS DE MESA,,,,10.024,,,,,,10.112,,,,,10.457,,,,,9.947,,,,,8.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,TIRO A VUELO,,,,2.057,,,,,,1.829,,,,,1.669,,,,,1.780,,,,,1.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,TIRO CON ARCO,,,,6.681,,,,,,7.345,,,,,7.499,,,,,9.213,,,,,17.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,TIRO OLÍMPICO,,,,59.083,,,,,,55.583,,,,,54.261,,,,,52.517,,,,,50.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,TRIATLÓN (4),,,,21.079,,,,,,24.241,,,,,19.884,,,,,29.739,,,,,27.760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,VELA,,,,52.703,,,,,,34.765,,,,,35.088,,,,,37.954,,,,,41.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,VOLEIBOL,,,,55.904,,,,,,51.755,,,,,61.550,,,,,71.074,,,,,72.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALES,,,,,,3.498.848,,,,,,3.394.635,,,,,3.391.298,,,,,3.504.859,,,,,3.586.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Actualmente son 5 Federaciones lo que antes se agrupó en una
(2) Integrada en Deportes de Invierno hasta su segregación como Fed. Española (2006)
(3) Antes de convertirse en Federación fueron Agrupación de clubes
(4) Integrada en Pentatlon Moderno hasta su segregación como Fed. Española (1994)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
