,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTÓRICO  DE LICENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nº,FEDERACIÓN,,1941,1942,1943,,,1944,,,1945,,1946,,1947,,,,1948,,1949,,1950,,1951,,,1952,,1953,,,1954,,,1955,,1956,,1957,,1958,,,1959,,,1960,,1961,,1962,,1963,,,1964,,,1965,,,
21,DEP. PARALÍTICOS CEREBRALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DEPORTES DE HIELO (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DEPORTES DE INVIERNO,,1.026,977,,540,,,1.421,,,1.659,,1.786,,,,23.199,,,34.749,,,41.769,,38.902,,,46.349,,,54.010,,,56.166,,,53.288,,3.842,,,52.632,,,52.798,,,52.798,,62.417,,69.426,,,75.635,,,72.031,,64.308,54.938,49.300
24,ESGRIMA,,1.811,2.108,,1.970,,,1.914,,,2.466,,2.382,,,,1.771,,,3.821,,,3.125,,3.827,,,3.623,,,8.984,,,11.937,,,11.934,,9.821,,,15.574,,,17.601,,,20.838,,19.170,,17.402,,,17.454,,,14.661,,11.006,9.114,6.092
25,ESPELEOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.330,,,4.039,,4.105,,4.519,,,5.061,,,5.104,,5.091,5.684,6.142
26,ESQUÍ NÁUTICO,,180,248,,965,,,1.233,,,2.670,,2.670,,,,3.050,,,3.050,,,3.993,,4.724,,,4.724,,,4.724,,,1.364,,,1.366,,1.890,,,1.619,,,1.780,,,2.629,,3.323,,2.157,,,3.482,,,4.714,,4.171,2.578,2.374
27,FÚTBOL,,56.127,72.317,,84.251,,,105.000,,,102.354,,128.743,,,,148.700,,,163.872,,,171.725,,186.989,,,202.574,,,222.686,,,263.983,,,395.023,,353.800,,,360.125,,,429.787,,,403.629,,415.012,,399.531,,,401.743,,,401.084,,391.023,401.084,408.435
28,GALGOS,,461,447,,495,,,493,,,496,,485,,,,520,,,545,,,530,,586,,,548,,,548,,,626,,,616,,585,,,680,,,1.063,,,828,,994,,1.108,,,1.324,,,1.349,,1.256,1.267,2.146
29,GIMNASIA,,4.770,4.392,,6.250,,,7.485,,,8.121,,6.375,,,,6.308,,,6.103,,,5.692,,5.335,,,5.639,,,8.144,,,9.343,,,9.119,,9.947,,,10.827,,,12.258,,,13.343,,16.030,,17.089,,,10.784,,,12.032,,9.182,8.465,8.972
30,GOLF,,2.811,3.203,,3.391,,,4.302,,,5.332,,6.423,,,,7.658,,,9.042,,,10.306,,11.474,,,13.067,,,13.067,,,15.615,,,17.187,,18.781,,,19.203,,,23.698,,,25.603,,27.640,,31.155,,,35.175,,,39.863,,44.274,51.789,57.864
